BinEdges,Frequency
5.425000000000000000e+01,5.600000000000000000e+01
6.075000000000000000e+01,6.410000000000000000e+02
6.725000000000000000e+01,1.036000000000000000e+03
7.375000000000000000e+01,2.027000000000000000e+03
8.025000000000000000e+01,2.351000000000000000e+03
8.675000000000000000e+01,2.053000000000000000e+03
9.325000000000000000e+01,9.050000000000000000e+02
9.975000000000000000e+01,2.480000000000000000e+02
1.062500000000000000e+02,1.490000000000000000e+02
1.127500000000000000e+02,7.200000000000000000e+01
