BinEdges,Frequency
8.835324991584985810e+01,4.300000000000000000e+01
9.726343413523407833e+01,4.180000000000000000e+02
1.061736183546182986e+02,8.440000000000000000e+02
1.150838025740025330e+02,2.083000000000000000e+03
1.239939867933867674e+02,2.610000000000000000e+03
1.329041710127709734e+02,2.065000000000000000e+03
1.418143552321552079e+02,8.790000000000000000e+02
1.507245394515394423e+02,3.760000000000000000e+02
1.596347236709236483e+02,1.060000000000000000e+02
1.685449078903078828e+02,3.100000000000000000e+01
