BinEdges,Frequency
4.398272014722780909e+01,8.600000000000000000e+01
5.247764154190323893e+01,7.620000000000000000e+02
6.097256293657866877e+01,1.414000000000000000e+03
6.946748433125409861e+01,2.602000000000000000e+03
7.796240572592952844e+01,2.207000000000000000e+03
8.645732712060495828e+01,1.554000000000000000e+03
9.495224851528035970e+01,8.720000000000000000e+02
1.034471699099557895e+02,2.130000000000000000e+02
1.119420913046312194e+02,4.800000000000000000e+01
1.204370126993066492e+02,9.000000000000000000e+00
