BinEdges,Frequency
1.891903855610471696e+00,1.370000000000000000e+02
5.675711566831415311e+00,7.400000000000000000e+01
9.459519278052358260e+00,1.129000000000000000e+03
1.324332698927330298e+01,2.977000000000000000e+03
1.702713470049424416e+01,3.244000000000000000e+03
2.081094241171518888e+01,1.597000000000000000e+03
2.459475012293613361e+01,4.810000000000000000e+02
2.837855783415707478e+01,8.800000000000000000e+01
3.216236554537801595e+01,2.800000000000000000e+01
3.594617325659896068e+01,8.000000000000000000e+00
