BinEdges,Frequency
8.851512207278436506e+01,1.100000000000000000e+01
8.972405659143863943e+01,1.700000000000000000e+01
9.093299111009292801e+01,4.300000000000000000e+01
9.214192562874720238e+01,9.200000000000000000e+01
9.335086014740147675e+01,1.690000000000000000e+02
9.455979466605575112e+01,2.690000000000000000e+02
9.576872918471002549e+01,1.053000000000000000e+03
9.697766370336429986e+01,2.307000000000000000e+03
9.818659822201858844e+01,2.155000000000000000e+03
9.939553274067286281e+01,3.009000000000000000e+03
